State,Population,ViolentCrime1,MurderAndNonnegligentManslaughter,Rape(revisedDefinition)2 ,Rape(legacyDefinition)3,Robbery,AggravatedAssault,PropertyCrime,Burglary,Larceny-theft,MotorVehicleTheft,ViolentCrimeRate
ALABAMA,4858979.00,22952.00,348.00,2039.00,1456.00,4611.00,15954.00,144746.00,35255.00,99156.00,10335.00,0.004723626
ALASKA,738432.00,5392.00,59.00,901.00,650.00,761.00,3671.00,20806.00,3511.00,15249.00,2046.00,0.007301959
ARIZONA,6828065.00,28012.00,309.00,3108.00,2294.00,6360.00,18235.00,207107.00,37957.00,152365.00,16785.00,0.004102480
ARKANSAS,2978204.00,15526.00,181.00,1931.00,1300.00,2098.00,11316.00,96836.00,22640.00,68424.00,5772.00,0.005213209
CALIFORNIA,39144818.00,166883.00,1861.00,12811.00,9387.00,52862.00,99349.00,1024914.00,197404.00,656517.00,170993.00,0.004263221
COLORADO,5456574.00,17515.00,176.00,3257.00,2377.00,3323.00,10759.00,144136.00,23454.00,104682.00,16000.00,0.003209890
CONNECTICUT,3590886.00,7845.00,117.00,773.00,582.00,2892.00,4063.00,65066.00,10053.00,48675.00,6338.00,0.002184698
DELAWARE,945934.00,4720.00,63.00,341.00,243.00,1235.00,3081.00,25455.00,4773.00,19501.00,1181.00,0.004989777
DISTRICT OF COLUMBIA4,672228.00,8531.00,162.00,494.00,366.00,3742.00,4133.00,31435.00,2971.00,25200.00,3264.00,0.012690635
FLORIDA,20271272.00,93626.00,1041.00,7553.00,5430.00,21137.00,63895.00,570270.00,109268.00,420341.00,40661.00,0.004618654
GEORGIA5,10214860.00,38643.00,615.00,3224.00,2296.00,12247.00,22557.00,308723.00,66374.00,215867.00,26482.00,0.003783018
HAWAII,1431603.00,4201.00,19.00,561.00,400.00,1203.00,2418.00,54346.00,6557.00,42010.00,5779.00,0.002934473
IDAHO,1654930.00,3568.00,32.00,694.00,533.00,192.00,2650.00,28858.00,6124.00,20863.00,1871.00,0.002155982
ILLINOIS,12859995.00,49354.00,744.00,4821.00,3549.00,14910.00,28879.00,255729.00,46443.00,191634.00,17652.00,0.003837793
INDIANA6,6619680.00,25653.00,373.00,2404.00,1789.00,7111.00,15765.00,171847.00,34410.00,123918.00,13519.00,0.003875263
IOWA,3123899.00,8936.00,72.00,1156.00,851.00,1047.00,6661.00,63957.00,14892.00,44723.00,4342.00,0.002860528
KANSAS,2911641.00,11353.00,128.00,1615.00,1251.00,1818.00,7792.00,79199.00,15362.00,56880.00,6957.00,0.003899176
KENTUCKY,4425092.00,9676.00,209.00,1492.00,997.00,3307.00,4668.00,96362.00,22260.00,66320.00,7782.00,0.002186621
LOUISIANA,4670724.00,25208.00,481.00,1723.00,1260.00,5550.00,17454.00,156629.00,35453.00,111435.00,9741.00,0.005397022
MAINE6,1329328.00,1729.00,23.00,474.00,354.00,311.00,921.00,24327.00,4684.00,18829.00,814.00,0.001300657
MARYLAND,6006401.00,27462.00,516.00,1666.00,1184.00,9863.00,15417.00,139048.00,25678.00,100219.00,13151.00,0.004572122
MASSACHUSETTS,6794422.00,26562.00,128.00,2075.00,1608.00,5288.00,19071.00,114871.00,21890.00,84912.00,8069.00,0.003909383
MICHIGAN,9922576.00,41231.00,571.00,6450.00,4163.00,7796.00,26414.00,187101.00,40041.00,131296.00,15764.00,0.004155272
MINNESOTA,5489594.00,13319.00,133.00,2321.00,1686.00,3771.00,7094.00,121984.00,19299.00,94704.00,7981.00,0.002426227
MISSISSIPPI6,2992333.00,8254.00,259.00,1203.00,862.00,2294.00,4498.00,84790.00,24799.00,55748.00,4243.00,0.002758383
MISSOURI,6083672.00,30261.00,502.00,2553.00,1854.00,6376.00,20830.00,173642.00,34006.00,122637.00,16999.00,0.004974134
MONTANA,1032949.00,3611.00,36.00,547.00,431.00,210.00,2818.00,27100.00,3838.00,20844.00,2418.00,0.003495816
NEBRASKA6,1896190.00,5212.00,62.00,873.00,652.00,994.00,3283.00,42495.00,6422.00,32072.00,4001.00,0.002748670
NEVADA,2890845.00,20118.00,178.00,1688.00,1238.00,6287.00,11965.00,77137.00,22360.00,43426.00,11351.00,0.006959211
NEW HAMPSHIRE,1330608.00,2652.00,14.00,627.00,461.00,468.00,1543.00,23229.00,3467.00,18871.00,891.00,0.001993074
NEW JERSEY,8958013.00,22879.00,363.00,1373.00,1019.00,9729.00,11414.00,145701.00,27960.00,105963.00,11778.00,0.002554026
NEW MEXICO5,2085109.00,13681.00,117.00,1672.00,1215.00,2485.00,9407.00,77094.00,17085.00,51483.00,8526.00,0.006561288
NEW YORK6,19795791.00,75165.00,609.00,6074.00,4389.00,23936.00,44546.00,317529.00,44276.00,257940.00,15313.00,0.003797019
NORTH CAROLINA5,10042802.00,34852.00,517.00,2684.00,1939.00,8825.00,22826.00,276183.00,74841.00,187907.00,13435.00,0.003470346
NORTH DAKOTA,756927.00,1812.00,21.00,345.00,276.00,148.00,1298.00,16020.00,2997.00,11440.00,1583.00,0.002393890
OHIO6,11613423.00,33898.00,500.00,5149.00,4154.00,12554.00,15695.00,300525.00,69303.00,213993.00,17229.00,0.002918864
OKLAHOMA,3911338.00,16506.00,234.00,1849.00,1352.00,3005.00,11418.00,112878.00,28406.00,74022.00,10450.00,0.004220039
OREGON6,4028977.00,10468.00,99.00,1593.00,1164.00,2146.00,6630.00,118719.00,18336.00,89836.00,10547.00,0.002598178
PENNSYLVANIA,12802503.00,40339.00,658.00,4305.00,3122.00,13003.00,22373.00,232085.00,39664.00,180287.00,12134.00,0.003150868
PUERTO RICO7,3474182.00,7629.00,584.00,165.00,123.00,4070.00,2810.00,37717.00,9150.00,24493.00,4074.00,0.002195913
RHODE ISLAND6,1056298.00,2562.00,29.00,459.00,338.00,556.00,1518.00,20043.00,3947.00,14707.00,1389.00,0.002425452
SOUTH CAROLINA,4896146.00,24700.00,399.00,2297.00,1707.00,3931.00,18073.00,161245.00,34551.00,113724.00,12970.00,0.005044784
SOUTH DAKOTA,858469.00,3289.00,32.00,495.00,441.00,216.00,2546.00,16680.00,2960.00,12532.00,1188.00,0.003831239
TENNESSEE,6600299.00,40400.00,406.00,2676.00,1966.00,7474.00,29844.00,193796.00,43247.00,137679.00,12870.00,0.006120935
TEXAS,27469114.00,113227.00,1316.00,12250.00,8925.00,31934.00,67727.00,777739.00,153054.00,557200.00,67485.00,0.004121975
UTAH6,2995919.00,7071.00,54.00,1645.00,1098.00,1326.00,4046.00,89278.00,12468.00,68103.00,8707.00,0.002360211
VERMONT,626042.00,739.00,10.00,136.00,121.00,101.00,492.00,8806.00,1968.00,6660.00,178.00,0.001180432
VIRGINIA,8382993.00,16399.00,383.00,2340.00,1493.00,4441.00,9235.00,156470.00,21340.00,127019.00,8111.00,0.001956223
WASHINGTON6,7170351.00,20394.00,211.00,2705.00,2193.00,5449.00,12029.00,248369.00,50993.00,170509.00,26867.00,0.002844212
WEST VIRGINIA,1844128.00,6231.00,70.00,672.00,420.00,760.00,4729.00,37251.00,9170.00,25842.00,2239.00,0.003378833
WISCONSIN6,5771337.00,17647.00,240.00,1780.00,1224.00,5232.00,10395.00,113924.00,19554.00,83385.00,10985.00,0.003057697
WYOMING,586107.00,1302.00,16.00,173.00,125.00,59.00,1054.00,11151.00,1762.00,8797.00,592.00,0.002221437
